question,intent
"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?",Fact
What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?,Fact
Madonna advertises for what soft drink ?,Fact
What does A&W of root beer fame stand for ?,Definition
What tennis term is said to come from the French word for egg ?,Fact
What does a collier mine ?,Fact
How much money can a person be fined for having a dog on a beach ?,HowTo
"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?",Fact
What are the ages in comic book lingo ?,Fact
What kinds of animals are in Cambodia ?,Fact
What South African producer had a 1988 profit of $836 million ?,Fact
What American actress was the first to be called a `` vamp '' ?,Fact
What do the 12 days of Christmas mean ?,Definition
"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?",Fact
What date did man first land on the moon ?,Fact
Where are the headquarters of Eli Lilly ?,Fact
How many web servers are there ?,HowTo
What 's the last line of Dickens 's A Christmas Carol ?,Definition
How many trees go into paper making in a year ?,HowTo
Where can I find info on research being done on oilseeds thru genetics ?,Fact
How come light bulbs go out ?,HowTo
For what reason did the Shea & Gould law firm close their L.A. office ?,Definition
How far out is the universe ?,HowTo
What is the difference between a bottle and a jar ?,Comparison
What disease is the second-biggest killer of North Americans ?,Fact
Where did the Mayan Indians live ?,Fact
Where was Poe born ?,Fact
What happens to the female body with lack of sleep and food ?,Definition
What is a fear of crystals or glass ?,Fact
Name a product that controls the ripening of apples .,Fact
How many warmup pitches does a reliever get coming into a baseball game ?,HowTo
Where did Dylan Thomas die ?,Fact
What common livestock have the greatest variety of breeds ?,Fact
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,Fact
What disease did August von Wassermann develop a specific test for in 196 ?,Fact
What card company sells Christmas ornaments ?,Fact
How do I find out what cities are in a certain area code ?,HowTo
What can communications satellites offer yachts ?,Fact
How many Fig Newtons are there to the pound ?,HowTo
Who is the premier of China ?,Fact
What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?,Fact
How many bones are there in the human hand ?,HowTo
What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?,Fact
Who was the president of Vichy France ?,Fact
Whose kidnaping was termed The Crime of the Century ?,Fact
What is hydrogen ?,Definition
What group asked the musical question Do You Believe in Magic ?,Fact
What was the tallest building in America in 1922 ?,Fact
What buxom blonde appeared on the cover of more than 5 magazines ?,Fact
What is recruitment interview technique ?,Definition
How does a hurricane form ?,HowTo
What does the donation process entail ?,Definition
How far is it from Phoenix to Blythe ?,HowTo
What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?,Fact
How many people watch network television ?,HowTo
"What garment was named for Bradley , Voorhees and Day ?",Fact
Who first broke the sound barrier ?,Fact
How do birds have sex ?,HowTo
How many horses are there on a polo team ?,HowTo
What 's destroyed in Genesis 19 : 24 ?,Fact
What new year is celebrated on February 16th ?,Fact
What is Occam 's Razor ?,Definition
Where do the Grimace and Mayor McCheese live ?,Fact
How long does it take to hike the entire Appalachian Trail ?,HowTo
What role do fruits play in the survival of plants ?,Fact
Where is the world championship sled dog race held each February ?,Fact
What are the medical purposes of `` clitoridectomy '' ?,Definition
How is thalassemia defined ?,HowTo
What 's the name of the Tampa newspaper ?,Fact
What is a storm surge ?,Definition
How do you use `` farther '' as opposed to `` further '' ?,HowTo
What was the alternate to VHS ?,Fact
What is one of the languages of the Sioux ?,Fact
What Pulitzer Prize-winning novelist ran for mayor of New York City ?,Fact
How many times can a nickel-cadmium rechargeable battery be recharged ?,HowTo
How is cologne made ?,HowTo
What was the food of the Greek gods called ?,Fact
What does camera-ready art mean ?,Definition
How many seats does the Batmobile sport ?,HowTo
How many cards are dealt to each player in Gin Rummy ?,HowTo
What happened to Phillip Taylor Kramer ?,Definition
What Erica Jong novel deals with Isadora Wing 's fear ?,Fact
What time of year do most people fly ?,Fact
Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?,Fact
What is the origin of the Christmas tree ?,Definition
When is the Thai New Year ?,Fact
What four tournaments make up tennis ' Grand Slam ?,Fact
What 1964 film introduced the song My Kind of Town ?,Fact
Who recorded the 1957 hit Tammy ?,Fact
What is the term for the side of the mountain that faces the prevailing winds ?,Fact
"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?",Fact
What does caliente translate to in English ?,Fact
Who is Mia Farrow 's mother ?,Fact
How do you determine if a computer monitor has an SVGA adapter ?,HowTo
How far can a human eye see ?,HowTo
What time of year has the most air travel ?,Fact
What does the term `` spaghetti western '' mean ?,Definition
When was the G7 group of nations formed ?,Fact
What are differences between 1980 and 1990 ?,Comparison
What baseball player was walked the most times ?,Fact
What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?,Fact
What were the first frozen foods ?,Fact
Why is Indiglo called Indiglo ?,Reason
What is the word for love of pain or abuse ?,Fact
When did they canonize the Bible ?,Fact
Who was the only president to serve two nonconsecutive terms ?,Fact
What percentage of all world tornados touch down in the US ?,Fact
What labor leader was last seen in the parking lot of a Michigan restaurant ?,Fact
When did the Carolingian period begin ?,Fact
What motto ended Merrie Melodies cartoons ?,Definition
Who reports the weather on the `` Good Morning America '' television show ?,Fact
How many emperors were there in the Roman Empire ?,HowTo
What was the name of `` The Muppets '' creator ?,Fact
What is Cabarnet Sauvignon ?,Definition
What is a virtual IP address ?,Definition
What 's the name of the tiger that advertises for Frosted Flakes cereal ?,Fact
"Who sent the brief message `` I came , I saw , I conquered '' ?",Fact
What color is Mr. Spock 's blood ?,Fact
What U.S. Air Force general led the first bombing raid over Tokyo ?,Fact
What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?,Fact
"What was the name of the first Watergate special prosecutor , later fired by Nixon ?",Fact
How do movie blues screens work ?,HowTo
How does the speed the magnet spins in a generator affect the output of the generator ?,HowTo
What 's the supreme policy-making bureau of the Soviet Communist Party ?,Fact
What was the Vietnam War ?,Definition
What is La Nina ?,Definition
Why did the Globe Theatre burn down ?,Reason
On what day were John F and Jackie Kennedy married ?,Fact
"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?",Fact
What is meant by blood SED rate ?,Definition
Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,Fact
Who won a Pulitzer Prize for his novel The Caine Mutiny ?,Fact
What 's the best way to lose the flab under your chin and around your face ?,Fact
Where is your corpus callosum ?,Fact
"What Broadway musical featured the song , `` If I were a rich man ? ''",Fact
Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?,Fact
Why is the development of space so important ?,Reason
What is the nursery rhyme Rock-a-by Baby about ?,Definition
"When Superman needs to get away from it all , where does he go ?",Fact
How old is singer Freedy Johnston ?,HowTo
What is the origin of gametophytic tissue ?,Definition
What does Aaron mean ?,Definition
What is a fear of hair ?,Fact
What is the name of the pop singer whose song became the theme song for a brand of catsup ?,Fact
What is a conifer ?,Definition
Who claimed to be the world 's most perfectly-developed man ?,Fact
What is different about the red and black fox ?,Definition
What is e-commerce ?,Definition
How do I tie a tie ?,HowTo
Where can I get cotton textiles importer details ?,Fact
When did Spain and Korea start ambassadorial relations ?,Fact
What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?,Fact
What is chromatology ?,Definition
How many grooves are on a dime 's edge ?,HowTo
How was the ACLU formed ?,HowTo
What are the most albums sold by one artist or band ?,Fact
The second most popular sport worldwide is what ?,Fact
What do goldfish lose if kept in dimly-lit or running water ?,Fact
What canal does the Thatcher Ferry Bridge span ?,Fact
What American won the world Grand Prix driving championship in 1978 ?,Fact
What are the chances of pregnacy if the penis does not penetrate the vagina ?,Fact
What 's the highest hand in straight poker ?,Fact
Where can I find a lesson plan for teaching the metric system conversion to American standard ?,Fact
What is the name of Kevin Costner 's movie about Sioux Indians ?,Fact
"What are Kythnos , Siphnos , Seriphos and Mykonos ?",Definition
Name a female figure skater .,Fact
Why are there no white lines on pro footballs ?,Reason
How long would it take for a $ savings bond to mature ?,HowTo
How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,HowTo
What did the Congress of Vienna establish ?,Fact
What is the average cost for four years of medical school ?,Fact
What harmful chemicals are in bug spray ?,Fact
How many spears are there on Kenya 's flag ?,HowTo
What did Mighty Mouse always sing as he went into action ?,Definition
Where did George of the Jungle live ?,Fact
How did Bob Marley die ?,HowTo
What 's men 's par on a 455-yard golf hole ?,Fact
What percentage of American men are alcoholic ?,Fact
"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?",Fact
"In South Korea , how many American Soldiers are there ?",Fact
Who portrayed Carl Bernstein in All the President 's Men ?,Fact
What are the numbers that fit into Fermont 's last theorem ?,Fact
Who was Tiny Tim 's father ?,Fact
What does a heliologist study ?,Fact
Who was Bonnie Blue Butler 's father ?,Fact
"What shampoo prevents eczema , seborrhea , and psoriasis ?",Fact
How many Americans have HIV ?,HowTo
Where do I find information for foreclosure properties on the Internet ?,Fact
Who is the Antichrist ?,Fact
What was the first English play written exclusively for children ?,Fact
Which Latin American country is the largest ?,Fact
What was the former residence of Scottish kings in Edinburgh ?,Fact
How many teats does a female goat sport ?,HowTo
How tall is kilamanjaro ?,HowTo
Who was the lawyer who represented Randy Steven Craft ?,Fact
What country buys 25 percent of the world 's tea exports ?,Fact
What country is the origin of the band the Creeps ?,Fact
What did the crocodile swallow in Peter Pan ?,Fact
What is the origin of the word `` mushroom '' ?,Definition
Which of the following celebrities was not born in Philadelphia ?,Fact
What is the number of American soldiers deployed to South Korea ?,Fact
Where is the biggest bell ?,Fact
What is the brand name of the chemical daminozide ?,Fact
How do microwaves work ?,HowTo
What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,Fact
What is the estimated total U.S. whitetail deer population ?,Fact
Who wrote the Farmer 's Almanac ?,Fact
"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?",Fact
What number is at 12 o 'clock on a dartboard ?,Fact
Which team won the Super Bowl in 1968 ?,Fact
What is the recommended daily requirement for folic acid for pregnant women ?,Definition
What film dramatized the Scopes monkey trial ?,Fact
CNN is owned by whom ?,Fact
What country offered Albert Einstein its presidency in 1952 ?,Fact
What is the HIGHEST Roman numeral ?,Definition
"What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?",Fact
Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?,Fact
How is digital audio used ?,HowTo
What is AFS ?,Definition
Who was Quetzalcoatl ?,Fact
What operating system do IBM-compatible machines use ?,Fact
What French leader sold Louisiana to the United States ?,Fact
"What bay sparkles next to Miami , Florida ?",Fact
How many miles of veins are in the circulatory system ?,HowTo
What famed river flows through Bagdad ?,Fact
How is bubble wrap made ?,HowTo
What is Java ?,Definition
Who is the prime minister of Japan ?,Fact
What player squats an average of 3 times during a baseball doubleheader ?,Fact
What 's the most common name in nursery rhymes ?,Fact
How many `` No '' answers was the What 's My Line ? panel allowed ?,HowTo
What is the fine for having a dog on a beach ?,Fact
"Who wrote the book , `` Song of Solomon '' ?",Fact
"Where can one find information on religion and health , the brain and nutrition ?",Fact
Name the Ranger who was always after Yogi Bear .,Fact
What TV show did John Sebastian sing the theme for ?,Fact
Who is the president of the Spanish government ?,Fact
Who holds the career record for the most major league home runs ?,Fact
Which of the following actors worked in New York 's Yiddish Theater ?,Fact
Who invented the stethoscope ?,Fact
What is a mathematical factor ?,Definition
How many four star generals were there and who are they ?,HowTo
When did Nixon die ?,Fact
What was originally defined as one 1-millionth of the distance from the equator to the Pole ?,Fact
What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,Fact
How many members are in the California congressional delegation ?,HowTo
What erupts every hour at Yellowstone National Park ?,Fact
What country contains the highest point in South America ?,Fact
What are Arnold Palmer 's fans called ?,Fact
Who retired with 755 home runs to his credit ?,Fact
What constellation represents a hunter with club and shield ?,Fact
Who developed potlatch ?,Fact
How long did Shea and Gould practice law in Los Angeles ?,HowTo
What 's a perfect score in a gymnastics exercise ?,Fact
"What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?",Fact
What made Jane Goodall famous ?,Definition
At what age did Rossini stop writing opera ?,Fact
What Russian seaport has a name meaning `` Lord of the East '' ?,Fact
Name the two actress daughters of John Mills .,Fact
How old was Gene Siskel ?,HowTo
What can be done about snoring ?,Definition
What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,Fact
Who is the actress Bette Davis once said she wished she looked like ?,Fact
Who portrayed The Cowardly Lion in The Wizard of Oz ?,Fact
What does a chiropodist treat ?,Fact
What is porphyria ?,Definition
What gate opened on East and West Berlin ?,Fact
Who was the first king of England ?,Fact
What made the Finger Lakes in western New York state ?,Definition
In what movie is the number nine found in the title ?,Fact
How many calories are there in soy sauce ?,HowTo
Who killed Kurt Cobain ?,Fact
Who created the monster in Mary Shelley 's novel Frankenstein ?,Fact
What 's the farthest planet from the sun ?,Fact
Why does the sun shine only a short time in Alaska ?,Reason
What chemical in red wine is good for the heart and what exactly does it do to your body ?,Fact
How does blood clot ?,HowTo
How big is our galaxy in diameter ?,HowTo
"What product `` doubles your pleasure , doubles your fun '' ?",Fact
When is a woman most fertile ?,Fact
What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?,Fact
Who was the first man to return to space ?,Fact
What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,Fact
Who gave Abbie Hoffman his first dose of LSD ?,Fact
What effect does friction have on perpetual motion ?,Definition
What did the Seven Dwarfs do for a living ?,Fact
What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?,Fact
Who shot Billy the Kid ?,Fact
What is he doing now ?,Definition
What Mormon leader was said to have had 27 wives ?,Fact
What video format was an alternative to VHS ?,Fact
Where did the term `` 69 '' come from ?,Fact
What is money made of ?,Fact
What 's the name of a hotel in Indianapolis ?,Fact
How many people in Tucson ?,HowTo
Where is Melbourne ?,Fact
With whom did Bush compare Saddam Hussein ?,Comparison
What country was Mikhail Gorbachev the leader of ?,Fact
"What is the recommended weight of a 15 year-old male that is 5 , 6 ?",Fact
What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?,Fact
What is the largest county in size in Massachusetts ?,Fact
What is the name of the brilliant British economist behind its creation ?,Fact
Who played Sally Rogers on The Dick Van Dyke Show ?,Fact
What is it like to experience a near death episode ?,Definition
What mythical figure carries an hourglass and a scythe ?,Fact
How much is a Canadian 1967 twenty dollar gold coin worth ?,HowTo
Why didn 't European colonial rule spread until after the first and second industrial revolutions ?,Reason
What natural attractions draw the most visitors in the United States ?,Fact
What presidential administration challenged Americans to explore The New Frontier ?,Fact
How many years did Sleeping Beauty sleep ?,HowTo
How long does it take for your body to restore blood after you donate your blood ?,HowTo
How do I know someone is truly in love with me ?,HowTo
Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,Fact
What is literary criticism ?,Definition
How do you throw a housewarming party ?,HowTo
What international sport was originally called hurley ?,Fact
What river runs through Liverpool ?,Fact
What famous British actor lost his voice after an operation in 1966 ?,Fact
What does the term 3 mean to a newspaper editor ?,Definition
What company makes impulse hardening equipment ?,Fact
What country was Kim Philby really working for ?,Fact
What does Freddy Freeman say to become Captain Marvel Jr. ?,Definition
What country was Hitler the chancellor of ?,Fact
What is Rona Barrett 's married name ?,Fact
How many years make up a lustrum ?,HowTo
What are close encounters of the first and second kind ?,Fact
Who is the mathematician that won the Noble Prize for Literature in 1950 ?,Fact
Which glamorous actress is a close friend of Dick Tracy ?,Fact
What 1956 Grace Metalious novel was on the best-seller list for two years ?,Fact
Name the three races unleashed by the Celestials in Marvel comics .,Fact
How old is the Italian artist Maurizio Pellegrin ?,HowTo
"What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?",Fact
What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?,Definition
What North American city would you visit to see Cleopatra 's Needle ?,Fact
When was the NFL established ?,Fact
Where can I find an Ask An Expert site ?,Fact
What writer-journalist made his mark describing colorful Broadway and underworld characters ?,Fact
What U.S. state has the lowest highest elevation at 6 feet ?,Fact
What are the residents of the island of Lesbos called ?,Fact
What is the organizational structure of the New Delhi Indira Gandhi airport ?,Fact
"At Christmas time , what is the traditional thing to do under the mistletoe ?",Fact
What baseball great plugged Mr. Coffee ?,Fact
What international amateur sports spectacle was first telecast in 1956 ?,Fact
What is the origin of the word `` amen '' ?,Definition
Who 's baby was Sweet Pea on the Popeye cartoon ?,Fact
Where is Mile High Stadium ?,Fact
"What were Baffin , Frobisher and Franklin looking for ?",Fact
What is limbo ?,Definition
What city contains the district of Hell 's Kitchen ?,Fact
What interesting method was used to run the credits in the early Popeye cartoons ?,Fact
What are the stars made of ?,Fact
"What English physician was born on January 18 , 1779 and went on to create two important inventions ?",Fact
"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?",Fact
How fast must a spacecraft travel to escape Earth 's gravity ?,HowTo
What apostle is Taylor Caldwell 's Great Lion of God ?,Fact
How many rings are there on a five-zone archery target ?,HowTo
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",Fact
"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?",Fact
What is a tonne ?,Definition
Which one of the Great Lakes is entirely within U.S. territory ?,Fact
What is DEET ?,Definition
What company sells the most greeting cards ?,Fact
What U.S. state has sagebrush as its state flower ?,Fact
What is the Bernoulli Principle ?,Definition
What 's comic strip photographer Peter Parker 's secret identity ?,Fact
What is difference between a poster and a print ?,Comparison
In which sport is there a `` scrum '' ?,Fact
What are the best ways to improve employee morale at low cost ?,Fact
What nationality is Pope John Paul II ?,Fact
What is false consciousness ?,Definition
How did the Great Depression affect Japan 's history ?,HowTo
Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,Fact
Where are some great educational resources for parents and teachers ?,Fact
How many Israeli athletes were killed at the Munich Olympics ?,HowTo
What is the Scotch `` for people who know the difference '' ?,Comparison
When was Richard Nixon born ?,Fact
What New York City landmark has 168 steps to its crown ?,Fact
Where is the Bulls basketball team based ?,Fact
What is the recomended age to switch a child from a crib to a bed ?,Fact
Which Rockefeller was sometimes called `` JDR3 '' ?,Fact
When is the Sun closest to the Earth ?,Fact
What are some chemical properties of mendelevium ?,Definition
What is the average hours per months spent online by AOL users ?,Fact
Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?,Fact
What is the origin of the word `` sideburns '' ?,Definition
The trials resulting from World War II are known as what ?,Fact
What started in 1849 when gold was discovered at Sutter 's Mill ?,Fact
What is a First World country ?,Definition
Who was Shakespeare 's Moorish general ?,Fact
What 's the second-highest mountain in the world ?,Fact
What country was Erich Honecker the leader of ?,Fact
How does salt melt ice and snow ?,HowTo
"What two Japanese cities are spelled with the letters K , O , O , T and Y ?",Fact
What does laser stand for ?,Definition
Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?,Fact
Where did Wile E. Coyote always get his devices ?,Fact
How far away is the moon ?,HowTo
What famous film and TV cowboy lent his name to a fast food chain ?,Fact
What is mandibulofacial dysostosis ?,Definition
What was the reason for the partition of the Anglican and Vatican churches ?,Definition
What is Butterfield 8 in Butterfield 8 ?,Definition
Who famously rode to warn the people of Massachusetts that the British were coming ?,Fact
What is DTMF ?,Definition
"Name a movie that the actress , Sandra Bullock , had a role in .",Fact
"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?",Fact
Who commanded the French forces at the Battle of Orleans ?,Fact
Where can an individual get a contact lens tested that burned the entire surface of eye when new ?,Fact
What countries does the Mont Blanc Tunnel join ?,Fact
What ill-fated craft was captained by Ernst Lehmann ?,Fact
When did Amtrak begin operations ?,Fact
How many bones are in the human hand ?,HowTo
How many chemical elements are there ?,HowTo
What eastern state sprouted the first commercial nuclear power plant in the U.S. ?,Fact
What are the three most populated countries in the world ?,Fact
Who led the opposition when Konrad Adenauer was Chancellor in Germany ?,Fact
"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?",Fact
What is the youngest age a boy or girl can have an orgasm ?,Fact
What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?,Fact
What is the origin of the candy cane at Christmas ?,Definition
What is the brand name of a chemical used to control ripening ?,Fact
What terror of the sea did Johnny Horton sing about ?,Fact
What is the largest office block in the world ?,Fact
Who turned all he touched to gold ?,Fact
What is the medical term for cancer of the blood ?,Fact
Who plays shortstop for Charlie Brown 's baseball team ?,Fact
What country did the Romans call Hibernia ?,Fact
Who was the most famous food editor of The New York Times ?,Fact
How many dogs pull a sled in the Iditarod ?,HowTo
What 's a male witch called ?,Fact
How long does cocaine stay in your system ?,HowTo
What two countries fought the Hundred Years ' War ?,Fact
Who was the last U.S. president to reinstate Selective Service registration ?,Fact
"On which dates does the running of the bulls occur in Pamplona , Spain ?",Fact
What was the name of the lawyer who represented Randy Steven Craft ?,Fact
What happens to used motor oil ?,Definition
What is the most commonly used 1 letter word in the English language ?,Fact
What actress 's autobiography is titled Shelley : Also Known as Shirley ?,Fact
How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?,HowTo
How did the 7th inning stretch get started ?,HowTo
Who lived on the shores of the Gitchee Gumee River ?,Fact
What did Tristan come back as ?,Fact
What country will hit the year 2 first ?,Fact
What colors make up a rainbow ?,Fact
What war did Johnny Reb and Billy Yank fight ?,Fact
Who is section manager for guidance and control systems at JPL ?,Fact
What is Goldfinger 's first name ?,Fact
What square is the geographical center of London ?,Fact
Which of the following famous people does not paint as a hobby ?,Fact
What is the most populated city in the world ?,Fact
How many pitchers occupy the shelf beside the crouching woman in Edgar Degas 's 1886 painting The Tub ?,HowTo
What is the cost of the drugs used in tuberculosis treatments ?,Fact
What does JESSICA mean ?,Definition
What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,Fact
Ray Charles is best known for playing what instrument ?,Fact
Where did Victor Hugo spend his exile ?,Fact
"What was Nine Tailors , the television show from 1974 , about ?",Definition
How does the Elongated Man know a mystery is afoot ?,HowTo
What food of the three bears did Goldilocks eat ?,Fact
What is Boston Kreme ?,Definition
Who should I call to get a tour of the New York Stock Exchange ?,Fact
How many airline schools are there in the U.S. ?,HowTo
"What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?",Fact
What is a swatch ?,Definition
What does Ouija mean ?,Definition
How many major Nazi leaders went on trial after the war at Nuremberg ?,HowTo
What kind of fish is a coney ?,Fact
What state did Helen Keller call home ?,Fact
What was the name of the director of the movie `` Jaws '' ?,Fact
What steps can be taken to prevent diabetes ?,Definition
What were the first words spoken on a film sound track ?,Definition
What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?,Fact
What country 's royal house is Bourbon-Parma ?,Fact
What film was Jude Law in ?,Fact
Who portrayed W.C. Fields in the film W.C. Fields and Me ?,Fact
What were the ceremony traditions like during the Elizabethian times ?,Fact
Which college did Dikembe Mutombo play basketball at ?,Fact
What is a fear of going to bed ?,Fact
Where did the saying `` rule of thumb '' come from ?,Fact
Why does sound travel quicker through water than air ?,Reason
How much money does the Sultan of Brunei have ?,HowTo
What country would you visit to ski in the Dolomites ?,Fact
What month 's third weekend is the Monterey Jazz Festival held on ?,Fact
What is the `` Global Economy '' ?,Definition
Who built the first successful stern wheel steamboat ?,Fact
What is a caul ?,Definition
Who was Hitler 's minister of propaganda ?,Fact
Who was the first doctor to successfully transplant a liver ?,Fact
What does the theory of quantum leaps mean in simpler terms ?,Definition
What is a bone marrow transplant ?,Definition
What is the difference between a classical and an acoustic guitar ?,Comparison
What African capital is named for a U.S. president ?,Fact
What is the name of a language spoken by the Sioux ?,Fact
What Mediterranean island is home to the first Club Med ?,Fact
What does an edentulous smile lack ?,Fact
What is a fear of jealousy ?,Fact
Where can you find the Venus flytrap ?,Fact
What is the largest sculpture in the world ?,Fact
When was John D. Rockefeller born ?,Fact
What building built in 18 contains 327 miles of book shelves ?,Fact
What is home banking ?,Definition
What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,Fact
Who was the lawyer for Randy Steven Craft ?,Fact
How do hermit crabs reproduce ?,HowTo
Who is reputed to be the greatest maker of violins ?,Fact
How do you stop junk snail mail ?,HowTo
What future Soviet dictator was training to be a priest when he got turned on to Marxism ?,Fact
How long does James Bond like his eggs boiled ?,HowTo
What U.S. city 's skyline boasts the Gateway Arch ?,Fact
Where is Belize located ?,Fact
What 's the common name for a Japanese dwarf tree ?,Fact
What did Thomas Paine write ?,Fact
Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?,Fact
Who was the first jockey to ride two Triple Crown winners ?,Fact
What Lewis Carroll book introduced Humpty Dumpty to the world ?,Fact
Who wrote Brave New World ?,Fact
What state does Charles Robb represent ?,Fact
What is hydroelectricity ?,Definition
How many people are taller than 7 feet ?,HowTo
Who wrote Unsafe at Any Speed ?,Fact
How many islands make up Antigua ?,HowTo
How does an abacus work ?,HowTo
What causes rust ?,Definition
What is the fear of the computer called ?,Fact
What is a technique popularly used to detect birth defects ?,Fact
"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?",Fact
What British commander surrendered to George Washington at Yorktown in 1781 ?,Fact
"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?",Definition
"Who created the World Wide Web , WWW ?",Fact
What is the procedure called for drilling a hole in your skull to acheive a higher consciousness ?,Fact
What is the name of the president of Garmat U.S.A ?,Fact
"What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?",Fact
Who were leaders of the Byzantine empire ?,Fact
Who was the first President to appoint a woman to head a cabinet ?,Fact
What is splatterpunk ?,Definition
What is the orgin of xoxoxox ?,Definition
Who built the first pyramid ?,Fact
What southeast Asian country has the Wang River joining the Ping River at Tak ?,Fact
"What Italian city of 155 were Leonardo da Vinci , Michaelangelo , and Machiavelli all working in ?",Fact
What color tennis balls are used at Wimbledon ?,Fact
What is a 2-sided object called ?,Fact
Name a French fascist party .,Fact
Name the French historical period during the reign of Napoleon III .,Fact
What movie has made the most money ?,Fact
What is time ?,Definition
How many states have a lottery ?,HowTo
"What is the name of the largest city in Chile , South America ?",Fact
What are you caught in if a haboob blows up ?,Fact
What ratio of children of ages between two and eleven watch ` The Simpsons ' ?,Fact
How many cities are there in Utah ?,HowTo
What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?,Fact
How many visitors go to the Vatican each year ?,HowTo
What is the population of Mexico ?,Fact
How do you get silly putty out of fabric ?,HowTo
What is the best online games site ?,Fact
Why is the word `` abbreviation '' so long ?,Reason
What century did art 's Romantic Period begin in ?,Fact
How many spaces follow a period at the end of a sentence ?,HowTo
What is a cake of soap ?,Definition
In what year was the Berlin Wall erected ?,Fact
What is the weight of a teaspoon of matter in a black hole ?,Fact
What is the approximate weight of a teaspoon of matter in a black hole ?,Fact
What does MSG stand for ?,Definition
On what avenue is the original Saks department store located ?,Fact
Where does the song Anything Goes take place ?,Fact
Where was the first zoo in the U.S. ?,Fact
How far is Yaroslavl from Moscow ?,HowTo
What is April 's gemstone ?,Fact
What is the present Pope named ?,Fact
Who is the nebbish that is Marvel 's official mascot ?,Fact
What powdered soft drink mix went into space ?,Fact
What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,Fact
What is one of the languages spoken by the Sioux called ?,Fact
How many bytes are in a terabyte ?,HowTo
Who sang the song `` Hooked on a Feeling '' in the dancing baby episode of `` Ally Mcbeal '' ?,Fact
In what ways did Ivan IV support Russian expansion ?,Fact
Approximately how much does a teaspoon of matter weigh in a black hole ?,Fact
What country 's flag is field green ?,Fact
What sport is known for hooligans ?,Fact
"Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?",Fact
Who was Damocles ?,Fact
What sport was the first televised in the U.S. ?,Fact
Name Dondi 's adoptive grandfather .,Fact
When was the Congress of Vienna ?,Fact
What are the lyrics to `` Smelly Cat '' ?,Definition
How much folic acid should a pregnant woman get each day ?,HowTo
